tax_code,description
0210 19 50,"– – – – – Other 86,9 €/100 kg/net —"
0210 19 60,– – – – – Fore-ends and cuts thereof 119 €/100 kg/net —
0210 19 70,"– – – – – Loins and cuts thereof 149,6 €/100 kg/net —"
0210 19 81,"– – – – – – Boneless 151,2 €/100 kg/net —"
0210 19 89,"– – – – – – Other 151,2 €/100 kg/net —"
0210 19 90,"– – – Other 15,4 —"
0210 20,–Meat of bovine animals:  
0210 20 10,"– – With bone in 15,4 + 265,2 €/100 kg/net —"
0210 20 90,"– – Boneless 15,4 + 303,4 €/100 kg/net —"
0210 91 00,"– –Of primates 15,4 —"
0210 92,"– –Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia):  "
0210 92 10,"– – – Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia) 15,4 —"
0210 92 91,– – – – Meat 130 €/100 kg/net —
0210 92 92,"– – – – Offal 15,4 —"
0210 92 99,"– – – – Edible flours and meals of meat or meat offal 15,4 + 303,4 €/100 kg/net —"
0210 93 00,"– –Of reptiles (including snakes and turtles) 15,4 —"
0210 99,– –Other:  
0210 99 10,"– – – – Of horses, salted, in brine or dried 6,4 —"
0210 99 21,"– – – – – With bone in 222,7 €/100 kg/net —"
0210 99 29,"– – – – – Boneless 311,8 €/100 kg/net —"
0210 99 31,"– – – – Of reindeer 15,4 —"
0210 99 39,– – – – Other 130 €/100 kg/net(18) —
0210 99 41,"– – – – – Livers 64,9 €/100 kg/net —"
0210 99 49,"– – – – – Other 47,2 €/100 kg/net —"
0210 99 51,"– – – – – Thick skirt and thin skirt 15,4 + 303,4 €/100 kg/net —"
0210 99 59,"– – – – – Other 12,8 —"
0210 99 71,"– – – – – – Fatty livers of geese or ducks, salted or in brine Free —"
0210 99 79,"– – – – – – Other 6,4 —"
0210 99 85,"– – – – – Other 15,4 —"
0210 99 90,"– – – Edible flours and meals of meat or meat offal 15,4 + 303,4 €/100 kg/net —"
0301,Live fish:  
0301 11 00,– –Freshwater fish Free —
0301 19 00,"– –Other 7,5 —"
0301 91,"– –Trout (Salmo trutta,Oncorhynchus mykiss,Oncorhynchus clarki,Oncorhynchus aguabonita,Oncorhynchus gilae,Oncorhynchus apacheandOncorhynchus chrysogaster):  "
0301 91 10,– – – Of the speciesOncorhynchus apacheorOncorhynchus chrysogaster 8 —
0301 91 90,– – – Other 12 —
0301 92,– –Eels (Anguillaspp.):  
0301 92 10,– – – Of a length of less than 12 cm Free —
0301 92 30,– – – Of a length of 12 cm or more but less than 20 cm Free —
0301 92 90,– – – Of a length of 20 cm or more Free —
0301 93 00,"– –Carp (Cyprinusspp., Carassiusspp., Ctenopharyngodon idellus, Hypophthalmichthysspp., Cirrhinusspp., Mylopharyngodon piceus, Catla catla, Labeospp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobramaspp.) 8 —"
0301 94,"– –Atlantic and Pacific bluefin tuna (Thunnus thynnus,Thunnus orientalis):  "
0301 94 10,– – – Atlantic bluefin tuna (Thunnus thynnus) 16 —
0301 94 90,– – – Pacific bluefin tuna (Thunnus orientalis) 16 —
0301 95 00,– –Southern bluefin tuna (Thunnus maccoyii) 16 —
0301 99,– –Other:  
0301 99 11,"– – – – Pacific salmon (Oncorhynchus nerka,Oncorhynchus gorbuscha,Oncorhynchus keta,Oncorhynchus tschawytscha,Oncorhynchus kisutch,Oncorhynchus masouandOncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) 2 —"
0301 99 17,– – – – Other 8 —
0301 99 85,– – – Other 16 —
0302,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304 :  "
0302 11,"– –Trout (Salmo trutta,Oncorhynchus mykiss,Oncorhynchus clarki,Oncorhynchus aguabonita,Oncorhynchus gilae,Oncorhynchus apacheandOncorhynchus chrysogaster):  "
0302 11 10,– – – Of the speciesOncorhynchus apacheorOncorhynchus chrysogaster 8 —
0302 11 20,"– – – Of the speciesOncorhynchus mykiss, with heads and gills on, gutted, weighing more than 1,2 kg each, or with heads off, gilled and gutted, weighing more than 1 kg each 12 —"
0302 11 80,– – – Other 12 —
0302 13 00,"– –Pacific salmon (Oncorhynchus nerka,Oncorhynchus gorbuscha,Oncorhynchus keta,Oncorhynchus tschawytscha,Oncorhynchus kisutch,Oncorhynchus masouandOncorhynchus rhodurus) 2 —"
0302 14 00,– –Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) 2 —
0302 19 00,– –Other 8 —
0302 21,"– –Halibut (Reinhardtius hippoglossoides,Hippoglossus hippoglossus,Hippoglossus stenolepis):  "
0302 21 10,– – – Lesser or Greenland halibut (Reinhardtius hippoglossoides) 8 —
0302 21 30,– – – Atlantic halibut (Hippoglossus hippoglossus) 8 —
0302 21 90,– – – Pacific halibut (Hippoglossus stenolepis) 15 —
0302 22 00,"– –Plaice (Pleuronectes platessa) 7,5 —"
0302 23 00,– –Sole (Soleaspp.) 15 —
0302 24 00,– –Turbots (Psetta maxima) 15 —
0302 29,– –Other:  
0302 29 10,– – – Megrim (Lepidorhombusspp.) 15 —
0302 29 80,– – – Other 15 —
0302 31,– –Albacore or longfinned tuna (Thunnus alalunga):  
0302 31 10,– – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0302 31 90,– – – Other 22 —
0302 32,– –Yellowfin tuna (Thunnus albacares):  
0302 32 10,– – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0302 32 90,– – – Other 22 —
0302 33,– –Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis):  
0302 33 10,– – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0302 33 90,– – – Other 22 —
0302 34,– –Bigeye tuna (Thunnus obesus):  
0302 34 10,– – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0302 34 90,– – – Other 22 —
0302 35,"– –Atlantic and Pacific bluefin tuna (Thunnus thynnus,Thunnus orientalis):  "
0302 35 11,– – – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0302 35 19,– – – – Other 22 —
0302 35 91,– – – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0302 35 99,– – – – Other 22 —
0302 36,– –Southern bluefin tuna (Thunnus maccoyii):  
0302 36 10,– – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0302 36 90,– – – Other 22 —
0302 39,– –Other:  
0302 39 20,– – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0302 39 80,– – – Other 22 —
0302 41 00,"– –Herrings (Clupea harengus,Clupea pallasii) (43) —"
0302 42 00,– –Anchovies (Engraulisspp.) 15 —
0302 43,"– –Sardines (Sardina pilchardus,Sardinopsspp.), sardinella (Sardinellaspp.), brisling or sprats (Sprattus sprattus):  "
0302 43 10,– – – Sardines of the speciesSardina pilchardus 23 —
0302 43 30,– – – Sardines of the genusSardinops; sardinella (Sardinellaspp.) 15 —
0302 43 90,– – – Brisling or sprats (Sprattus sprattus) (44) —
0302 44 00,"– –Mackerel (Scomber scombrus,Scomber australasicus,Scomber japonicus) (45) —"
0302 45,– –Jack and horse mackerel (Trachurusspp.):  
0302 45 10,– – – Atlantic horse mackerel (Trachurus trachurus) 15 —
0302 45 30,– – – Chilean jack mackerel (Trachurus murphyi) 15 —
0302 45 90,– – – Other 15 —
0302 46 00,– –Cobia (Rachycentron canadum) 15 —
0302 47 00,– –Swordfish (Xiphias gladius) 15 —
0302 49,– –Other:  
0302 49 11,– – – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0302 49 19,– – – – Other 22 —
0302 49 90,– – – Other 15 —
0302 51,"– –Cod (Gadus morhua,Gadus ogac,Gadus macrocephalus):  "
0302 51 10,– – – Of the speciesGadus morhua 12 —
0302 51 90,– – – Other 12 —
0302 52 00,"– –Haddock (Melanogrammus aeglefinus) 7,5 —"
0302 53 00,"– –Coalfish (Pollachius virens) 7,5 —"
0302 54,"– –Hake (Merlucciusspp.,Urophycisspp.):  "
0302 54 11,– – – – Cape hake (shallow-water hake) (Merluccius capensis) and deepwater hake (deepwater Cape hake) (Merluccius paradoxus) 15 —
0302 54 15,– – – – Southern hake (Merluccius australis) 15 —
0302 54 19,– – – – Other 15(18) —
0302 54 90,– – – Hake of the genusUrophycis 15 —
0302 55 00,"– –Alaska Pollock (Theragra chalcogramma) 7,5 —"
0302 56 00,"– –Blue whiting (Micromesistius poutassou,Micromesistius australis) 7,5 —"
0302 59,– –Other:  
0302 59 10,– – – Polar cod (Boreogadus saida) 12 —
0302 59 20,"– – – Whiting (Merlangius merlangus) 7,5 —"
0302 59 30,"– – – Pollack (Pollachius pollachius) 7,5 —"
0302 59 40,"– – – Ling (Molvaspp.) 7,5 —"
0302 59 90,– – – Other 15 —
0302 71 00,– –Tilapias (Oreochromisspp.) 8 —
0302 72 00,"– –Catfish (Pangasiusspp.,Silurusspp.,Clariasspp.,Ictalurusspp.) 8 —"
0302 73 00,"– –Carp (Cyprinusspp.,Carassiusspp.,Ctenopharyngodon idellus,Hypophthalmichthysspp.,Cirrhinusspp.,Mylopharyngodon piceus,Catla catla, Labeospp.,Osteochilus hasselti, Leptobarbus hoeveni, Megalobramaspp.) 8 —"
0302 74 00,– –Eels (Anguillaspp.) Free —
0302 79 00,– –Other 8 —
0302 81,– –Dogfish and other sharks:  
0302 81 15,– – – Piked dogfish (Squalus acanthias)and catsharks (Scyliorhinusspp.) 6 —
0302 81 30,– – – Porbeagle shark (Lamna nasus) 8 —
0302 81 40,– – – Blue shark (Prionace glauca) 8 —
0302 81 50,– – – Shortfin Mako shark (Isurus Oxyrinchus) 8 —
0302 81 70,– – – Other 8 —
0302 82 00,– –Rays and skates (Rajidae) 15 —
0302 83 00,– –Toothfish (Dissostichusspp.) 15 —
0302 84,– –Sea bass (Dicentrarchusspp.):  
0302 84 10,– – – European sea bass (Dicentrarchus labrax) 15 —
0302 84 90,– – – Other 15 —
0302 85,– –Sea bream (Sparidae):  
0302 85 10,– – – Of the speciesDentex dentexorPagellusspp. 15 —
0302 85 30,– – – Gilt-head sea bream (Sparus aurata) 15 —
0302 85 90,– – – Other 15 —
0302 89,– –Other:  
0302 89 10,– – – Freshwater fish 8 —
0302 89 21,– – – – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0302 89 29,– – – – – Other 22 —
0302 89 31,"– – – – – Of the speciesSebastes marinus 7,5 —"
0302 89 39,"– – – – – Other 7,5 —"
0302 89 40,– – – – Ray's bream (Bramaspp.) 15 —
0302 89 50,– – – – Monkfish (Lophiusspp.) 15 —
0302 89 60,"– – – – Pink cusk-eel (Genypterus blacodes) 7,5 —"
0302 89 90,– – – – Other 15 —
0302 91 00,"– –Livers, roes and milt 10 —"
0302 92 00,– –Shark fins 8 —
0302 99 00,– –Other 10 —
0303,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304 :  "
0303 11 00,– –Sockeye salmon (red salmon) (Oncorhynchus nerka) 2 —
0303 12 00,"– –Other Pacific salmon (Oncorhynchus gorbuscha,Oncorhynchus keta,Oncorhynchus tschawytscha,Oncorhynchus kisutch,Oncorhynchus masouandOncorhynchus rhodurus) 2 —"
0303 13 00,– –Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) 2 —
0303 14,"– –Trout (Salmo trutta,Oncorhynchus mykiss,Oncorhynchus clarki,Oncorhynchus aguabonita,Oncorhynchus gilae,Oncorhynchus apacheandOncorhynchus chrysogaster):  "
0303 14 10,– – – Of the speciesOncorhynchus apacheorOncorhynchus chrysogaster 9 —
0303 14 20,"– – – Of the speciesOncorhynchus mykiss, with heads and gills on, gutted, weighing more than 1,2 kg each, or with heads off, gilled and gutted, weighing more than 1 kg each 12 —"
0303 14 90,– – – Other 12 —
0303 19 00,– –Other 9(18) —
0303 23 00,– –Tilapias (Oreochromisspp.) 8 —
0303 24 00,"– –Catfish (Pangasiusspp.,Silurusspp.,Clariasspp.,Ictalurusspp.) 8 —"
0303 25 00,"– –Carp (Cyprinusspp.,Carassiusspp.,Ctenopharyngodon idellus,Hypophthalmichthysspp.,Cirrhinusspp.,Mylopharyngodon piceus,Catla catla, Labeospp.,Osteochilus hasselti, Leptobarbus hoeveni, Megalobramaspp.) 8 —"
0303 26 00,– –Eels (Anguillaspp.) Free —
0303 29 00,– –Other 8 —
0303 31,"– –Halibut (Reinhardtius hippoglossoides,Hippoglossus hippoglossus,Hippoglossus stenolepis):  "
0303 31 10,"– – – Lesser or Greenland halibut (Reinhardtius hippoglossoides) 7,5 —"
0303 31 30,"– – – Atlantic halibut (Hippoglossus hippoglossus) 7,5 —"
0303 31 90,– – – Pacific halibut (Hippoglossus stenolepis) 15 —
0303 32 00,– –Plaice (Pleuronectes platessa) 15 —
0303 33 00,"– –Sole (Soleaspp.) 7,5 —"
0303 34 00,– –Turbots (Psetta maxima) 15 —
0303 39,– –Other:  
0303 39 10,"– – – Flounder (Platichthys flesus) 7,5 —"
0303 39 30,"– – – Fish of the genusRhombosolea 7,5 —"
0303 39 50,"– – – Fish of the speciesPelotreis flavilatusorPeltorhamphus novaezelandiae 7,5 —"
0303 39 85,– – – Other 15 —
0303 41,– –Albacore or longfinned tuna (Thunnus alalunga):  
0303 41 10,– – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0303 41 90,– – – Other 22 —
0303 42,– –Yellowfin tuna (Thunnus albacares):  
0303 42 20,– – – For the industrial manufacture of products of heading 1604(31) 20(42)(18) —
0303 42 90,– – – Other 22 —
0303 43,– –Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis):  
0303 43 10,– – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0303 43 90,– – – Other 22 —
0303 44,– –Bigeye tuna (Thunnus obesus):  
0303 44 10,– – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0303 44 90,– – – Other 22 —
0303 45,"– –Atlantic and Pacific bluefin tuna (Thunnus thynnus,Thunnus orientalis):  "
0303 45 12,– – – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
0303 45 18,– – – – Other 22 —
0303 45 91,– – – – For the industrial manufacture of products of heading 1604(31) 22(42)(18) —
